Constituency,Pincode,Candidate_Name,Party,Manifesto_Summary
Chennai South,600028,M. Karunakaran,DMK,"Focus on sustainable agriculture and farmer welfare schemes, including crop insurance and irrigation improvements."
Coimbatore,641018,S. Priya,AIADMK,"Boost IT sector jobs and skill development for youth, establishing new tech parks and incubation centers."
Madurai,625014,K. Muthukumar,BJP,"Improve public healthcare infrastructure and access to medicines, expanding primary health centers and specialized hospitals."
Trichy,620021,R. Meena,INC,"Enhance road connectivity and public transport facilities, especially in rural areas, and upgrade urban transit."
Salem,636007,V. Ramalingam,NTK,"Prioritize women's safety and economic empowerment programs through self-help groups and vocational training."
Tirunelveli,627001,L. Kavitha,DMK,"Ensure clean drinking water and waste management in urban areas with modern techniques and recycling plants."
Erode,638009,P. Saravanan,AIADMK,"Promote small and medium enterprises (SMEs) with financial aid, easier loan access, and marketing support."
Vellore,632001,M. Devi,BJP,"Invest in renewable energy and environmental protection initiatives, promoting solar power and afforestation."
Thoothukudi,628004,A. Venkatesh,INC,"Strengthen local governance and citizen participation through Gram Sabha reforms and transparent decision-making."
Kancheepuram,603108,P. Lakshmi,NTK,"Provide quality education and digital learning resources, equipping all schools with smart classes and broadband."
Villupuram,605103,R. Kumaresan,DMK,"Develop tourism and cultural heritage sites for economic growth, creating new jobs and promoting local arts."
Dharmapuri,636704,A. Geetha,AIADMK,"Implement social welfare schemes for the underprivileged, focusing on housing, food security, and pensions."
Chennai South,600041,N. Balasubramanian,BJP,"Address water scarcity through rainwater harvesting and rejuvenation projects for existing water bodies and lakes."
Coimbatore,641001,K. Revathi,INC,"Create industrial corridors and attract foreign investments, boosting manufacturing and export capabilities."
Madurai,625002,D. Senthil,NTK,"Support traditional crafts and handloom industries, ensuring fair wages for artisans and market access."
Trichy,620017,V. Shanthi,DMK,"Focus on rural development and poverty alleviation through targeted schemes for employment and infrastructure."
Salem,636005,J. Prakash,AIADMK,"Modernize police force and ensure law and order, establishing community policing and advanced surveillance."
Tirunelveli,627006,T. Malathi,BJP,"Guarantee fair prices for agricultural produce and establish more cold storage facilities and farmer markets."
Erode,638003,G. Murugan,INC,"Introduce transparent governance and anti-corruption measures, digitalizing government services for efficiency."
Vellore,632004,S. Deepa,NTK,"Expand educational opportunities, especially for girls, with scholarships, hostel facilities, and career guidance."
Thoothukudi,628001,L. Sivan,DMK,"Improve sports facilities and promote youth engagement in various disciplines, building sports academies."
Kancheepuram,603001,N. Anitha,AIADMK,"Ensure affordable housing for all sections of society, especially the urban poor, through subsidized housing schemes."
Villupuram,605602,C. Ganesan,BJP,"Strengthen public distribution system for essential commodities, ensuring doorstep delivery and quality control."
Dharmapuri,636701,J. Renuka,INC,"Promote Tamil language and culture through educational and cultural initiatives, celebrating heritage."
Chennai South,600020,E. Chandran,NTK,"Develop fisheries sector and support coastal communities with modern equipment, training, and disaster preparedness."
Coimbatore,641029,G. Kalpana,DMK,"Focus on sustainable agriculture and farmer welfare schemes, including crop insurance and irrigation improvements."
Madurai,625001,T. Kannan,AIADMK,"Boost IT sector jobs and skill development for youth, establishing new tech parks and incubation centers."
Trichy,620001,E. Vasanthi,BJP,"Improve public healthcare infrastructure and access to medicines, expanding primary health centers and specialized hospitals."
Salem,636001,S. Arunagiri,INC,"Enhance road connectivity and public transport facilities, especially in rural areas, and upgrade urban transit."
Tirunelveli,627008,M. Sudha,NTK,"Prioritize women's safety and economic empowerment programs through self-help groups and vocational training."
Erode,638001,K. Perumal,DMK,"Ensure clean drinking water and waste management in urban areas with modern techniques and recycling plants."
Vellore,632006,S. Rajasekhar,AIADMK,"Promote small and medium enterprises (SMEs) with financial aid, easier loan access, and marketing support."
Thoothukudi,628003,V. Sekar,BJP,"Invest in renewable energy and environmental protection initiatives, promoting solar power and afforestation."
Kancheepuram,603109,P. Natarajan,INC,"Strengthen local governance and citizen participation through Gram Sabha reforms and transparent decision-making."
Villupuram,605601,A. Moorthy,NTK,"Provide quality education and digital learning resources, equipping all schools with smart classes and broadband."
Dharmapuri,636702,M. Raja,DMK,"Develop tourism and cultural heritage sites for economic growth, creating new jobs and promoting local arts."
Chennai South,600088,S. Balaji,AIADMK,"Implement social welfare schemes for the underprivileged, focusing on housing, food security, and pensions."
Coimbatore,641030,K. Suresh,BJP,"Address water scarcity through rainwater harvesting and rejuvenation projects for existing water bodies and lakes."
Madurai,625016,V. Mani,INC,"Create industrial corridors and attract foreign investments, boosting manufacturing and export capabilities."
Trichy,620020,P. Selvam,NTK,"Support traditional crafts and handloom industries, ensuring fair wages for artisans and market access."
Salem,636008,D. Ashok,DMK,"Focus on rural development and poverty alleviation through targeted schemes for employment and infrastructure."
Tirunelveli,627009,J. Vignesh,AIADMK,"Modernize police force and ensure law and order, establishing community policing and advanced surveillance."
Erode,638004,R. Vijayakumar,BJP,"Guarantee fair prices for agricultural produce and establish more cold storage facilities and farmer markets."
Vellore,632007,S. Gayathri,INC,"Introduce transparent governance and anti-corruption measures, digitalizing government services for efficiency."
Thoothukudi,628005,A. Palanisamy,NTK,"Expand educational opportunities, especially for girls, with scholarships, hostel facilities, and career guidance."
Kancheepuram,603101,V. Indira,DMK,"Improve sports facilities and promote youth engagement in various disciplines, building sports academies."
Villupuram,605401,G. Karthikeyan,AIADMK,"Ensure affordable housing for all sections of society, especially the urban poor, through subsidized housing schemes."
Dharmapuri,636703,P. Soundarya,BJP,"Strengthen public distribution system for essential commodities, ensuring doorstep delivery and quality control."
